theme_id,question
marriage,"What is an encouragement you would like to hear more from me?"
marriage,"Which date of ours did you like most, and why?"
marriage,"What is one thing you love about us?"
marriage,"Name one new discovery you appreciate about me in the last 6 months."
marriage,"What helps you to relax?"
marriage,"What would you wish for after a long, tiring day?"
marriage,"What is something you're passionate about that you'd like to explore or experience together?"
marriage,"What is something small that always brightens your day?"
marriage,"What is one thing you like about me?"
marriage,"What does a best friend look like to you, and who comes closest to that now?"
marriage,"When do you feel most loved by me?"
marriage,"What should I do to better hear what is on your heart?"
marriage,"How would you like to communicate or show when you are in the mood for sex?"
marriage,"What's something that's been on your mind lately, and how can I support you?"
marriage,"What is something you appreciate about our relationship that you think I don't know about?"
marriage,"What habit or behaviour would you not want to emulate from your parents?"
marriage,"What is the biggest stress you are currently facing?"
marriage,"Do you feel you have enough time with your friends?"
marriage,"Apart from sex, what other activity makes you feel close to me?"
marriage,"Is there anything I have done or said recently that you secretly love?"
marriage,"What did I do that hurt you recently?"
marriage,"What is one thing I could change to be more Christ-like that would help our relationship?"
marriage,"How often would you like to make love?"
marriage,"What conflict do we not handle well? How can we grow?"
marriage,"What is the one thing about you that you wish I asked more about?"
marriage,"What is one habit of mine that bothers you?"
marriage,"What makes it difficult for you to share your feelings with me?"
marriage,"How would I know when you are unhappy? How will you show it?"
marriage,"What is one weakness you think you have, and how can I help you with it?"
marriage,"How can I appreciate you better?"
fun-light,"If you could have dinner with any fictional character, who would it be?"
fun-light,"What's the silliest thing you believed as a kid?"
fun-light,"What would your superpower be and why?"
fun-light,"What's a food you used to hate but now love?"
fun-light,"If you could live in any decade, which would you choose?"
faith,"When did you last feel a strong sense of peace or purpose?"
faith,"What's one way your beliefs have shaped how you treat others?"
faith,"Is there a question about faith you're still wrestling with?"
faith,"Who has been a spiritual example or guide to you?"
faith,"What practice or habit helps you stay grounded?"
